S.No. (Col. 1),State/UT (Col. 3),Murder - R (Col. 6),Attempt to Commit Murder - R (Col. 9),C.H. Not Amounting To Murder - R (Col. 12),Attempt to Commit Culpable Homicide - R (Col. 15),Rape * - Total Rape (Custodial +Other than Custodial) - R (Col. 18),Rape * - Rape Other than Custodial - Total Rape other than Custodial - R (Col. 30),Rape * - Rape Other than Custodial - Gang Rape - R (Col. 33),Rape * - Rape Other than Custodial - Other Rape - R (Col. 36),Attempt to Commit Rape - R (Col. 39),Kidnaping & Abduction - Kidnapping & Abduction (Total) - R (Col. 42),Kidnaping & Abduction - Kidnapping & Abduction - R (Col. 45),Kidnaping & Abduction - Kidnapping & Abduction - R (Col. 48),Kidnaping & Abduction - K & A for Ransom (Section 364A IPC) - R (Col. 51),Kidnaping & Abduction - K & A of Women To Compel Her For Marriage - R (Col. 54),Other Kidnapping & Abduction - R (Col. 57),Dacoity (Total) - Total Dacoity - R (Col. 60),Dacoity (Total) - Others - R (Col. 66),Making Preparation And Assembly For Committing Dacoity - R (Col. 69),Robbery - R (Col. 72),Criminal Trespass/Burglary - Criminal Trespass/Burglary (Total) - R (Col. 75),Criminal Trespass/Burglary - Criminal Trespass/Burglary - R (Col. 78),Criminal Trespass/Burglary - House Trespass & House Breaking - R (Col. 81),Theft - Theft (Total) - R (Col. 84),Theft - Auto Theft - R (Col. 87),Theft - Other Theft - R (Col. 90),Riots - Riots (Total) - R (Col. 97),Riots - Communal - R (Col. 100),Riots - Political - R (Col. 106),Riots - Total Riots (Caste Conflict) - R (Col. 109),Riots - Other Caste Conflict - R (Col. 115),Riots - Agrarian - R (Col. 118),Riots - Students - R (Col. 121),Riots - Riots Others (excluding previous columns) - R (Col. 127),Criminal Breach of Trust - R (Col. 130),Cheating - R (Col. 133),Forgery - R (Col. 136),Counterfeiting - Counterfeiting (Total) - R (Col. 139),Counterfeiting - Counterfeit Currency & Bank Notes - Counterfeit Currency & Bank Notes (Sub-Total) - R (Col. 148),Counterfeiting - Counterfeit Currency & Bank Notes - Counterfeiting Currency- Notes Or Bank Notes - R (Col. 151),"Counterfeiting - Counterfeit Currency & Bank Notes - Using As Genuine, Forged or Counterfeiting Currency / Bank Notes - R (Col. 154)",Arson - R (Col. 166),"Grievous Hurt (Section 325, 326, 326A & 326B IPC) - Grievous Hurt (Total) - R (Col. 169)","Grievous Hurt (Section 325, 326, 326A & 326B IPC) - Grievous Hurt (Section 325 & 326 IPC) - R (Col. 172)",Dowry Deaths* - R (Col. 181),Assault on Women With Intent to Outrage Her Modesty* - Assault on Women With Intent to Outrage Her Modesty (Total) - R (Col. 184),Assault on Women With Intent to Outrage Her Modesty* - Sexual Harassment (Section 354A IPC) - R (Col. 187),Assault on Women With Intent to Outrage Her Modesty* - Use of Criminal Force With Intent to Disrobe (Section 354B IPC) - R (Col. 190),Assault on Women With Intent to Outrage Her Modesty* - Voyeurism (Section 354C IPC) - R (Col. 193),Assault on Women With Intent to Outrage Her Modesty* - Stalking (Section 354D IPC) - R (Col. 196),Assault on Women With Intent to Outrage Her Modesty* - Others - R (Col. 199),Insult to Modesty of Women (Section 509 IPC)* - Insult to Modesty of Women (Total) - R (Col. 202),Insult to Modesty of Women (Section 509 IPC)* - Other Places Related To Work - R (Col. 208),Insult to Modesty of Women (Section 509 IPC)* - Places Other Than (Previous Columns) - R (Col. 214),Cruelty By Husband Or His Relatives * - R (Col. 217),Causing Death By Negligence - Causing Death By Negligence (Total) - R (Col. 223),Causing Death By Negligence - Deaths Due To Rash/Negligent Driving - R (Col. 226),Causing Death By Negligence - Deaths Due To Other Causes - R (Col. 229),Extortion - R (Col. 250),Causing Injuries under Rash Driving/ Road Rage - R (Col. 256),Human Trafficking (Section 370 & 370A IPC) - R (Col. 259),Unnatural Offences (Section 377 IPC) - R (Col. 262),Other IPC Crimes - R (Col. 265),Total Cognizable IPC Crimes (Excluding Sub Heads) - R (Col. 268)
1,Andhra Pradesh,2.1,3.4,0.2,0,4,4,0.1,3.9,0.8,1.8,0.8,0,0,1.1,0.4,0.1,0.1,0,0.7,9.1,6.9,2.1,27.4,8.6,18.8,1.4,0,0.1,0.1,0,0,0,1.2,1.6,10.8,0.5,0.2,0.1,0,0.1,1,1.5,1.4,0.7,18.1,4.2,1.9,0.4,2.2,9.4,8.6,0.4,8.1,23.9,15.1,14.8,0.4,1.1,32.2,0,0,77.1,215.6
2,Arunachal Pradesh,4.4,4.1,0.4,0,11.5,11.5,0.6,10.8,1.9,13.4,7.3,0,0.6,3.1,4.1,0.8,0.8,0.2,5.8,20.3,17.8,2.5,43.1,13.8,29.2,2.1,0.7,0.5,0.1,0.1,0,0,0.8,3.2,9.4,1.5,0.3,0.3,0.2,0.2,2.5,21.7,21.7,0,16.3,2.4,0.2,0.2,0.2,13.4,0.3,0.2,0.2,10.7,9.1,8.7,0.5,8.4,11.4,0.1,0,46,227.8
3,Assam,4.2,3.2,0.3,0,11,11,0.1,10.9,3.2,18.1,0.4,0,0.3,26.4,4.6,0.6,0.6,0,2.9,15.6,14,1.6,38.5,12.8,25.7,7.6,0,0,0,0,0,0,7.6,6,12.6,2.2,0.2,0.2,0.1,0,2.6,35.4,35.4,1.4,27.4,3.2,5.1,0.3,0.4,18.4,0.7,0.1,0.5,71.5,8.3,6.8,1.5,4.5,15.1,0.4,0,81.8,321.8
4,Bihar,3.1,5.8,0.1,0.8,2.1,2.1,0,2.1,0.8,6.9,0.7,0.3,0.1,8.9,1.6,0.4,0.4,0.1,1.6,4.4,4.1,0.3,21.8,9.6,12.2,12.9,0.1,0,0.3,0.2,1.1,0,11.5,1.3,6.2,1.1,0,0,0,0,0.4,12.1,12.1,2.3,0.4,0.2,0.1,0,0,0.2,0.2,0,0.2,7.6,3.9,3.6,0.3,1.2,4.7,0,0,75.9,171.6
5,Chhattisgarh,3.6,2.8,0.1,0,12.2,12.2,0.4,11.8,0.1,8.1,5.4,0,0,2.1,1.6,0.4,0.4,0,1.4,12.9,10,2.8,22.5,10,12.5,3.2,0,0.1,0.1,0.1,0.1,0,2.9,0.7,3.8,0.1,0.1,0.1,0,0.1,1.5,7.7,7.7,0.7,14.6,4,0.5,0.1,0.6,9.5,0.4,0.1,0.4,4.9,15.3,13.6,1.7,0.3,38.2,0.2,0.1,80.9,220.9
6,Goa,1.6,1.3,0.4,0,9.4,9.4,0.2,9.2,0,5.7,5.2,0.1,0.1,0,0.4,0.2,0.2,0.1,0.9,9.4,7.2,2.2,30.4,10.4,20,6.3,0,0,0,0,0,0,6.1,2.8,7,0.6,0.5,0.5,0.3,0.2,1.1,3.7,3.7,0,16.4,6.3,0.4,0.5,2.2,6.9,3.7,0,3.3,2.1,12,11.6,0.4,0.2,30.5,1.3,0.1,24,156.4
7,Gujarat,1.8,1.5,0.1,0,1.7,1.7,0,1.7,0,3.4,1.4,0,0.1,3.2,0.4,0.4,0.4,0,1.6,6.9,4.5,2.3,22.6,13,9.6,2.8,0.1,0.1,0.2,0.1,0.2,0,2.2,1.7,2.8,0.5,0.1,0.1,0.1,0,0.4,4.6,4.6,0,3.9,1.8,0.2,0.1,0.3,1.5,0.2,0,0.2,14,11.9,11.8,0,0.4,43.7,0,0,86.4,203.6
8,Haryana,3.7,3.2,0.2,0,8.6,8.6,1.6,6.9,0.8,12.9,0.6,0.1,0.1,7.8,8.6,0.7,0.7,0.4,3.4,24.4,21.3,3.1,75.7,52.7,23,6.9,0.7,0,0.2,0.1,0,0,6,3.8,12,2.7,0.1,0.1,0,0,0.9,7.4,7.4,1.9,15.1,5.5,2,0.2,2.7,4.7,0.7,0,0.7,28.3,16.4,15.7,0.7,1.2,25.9,0.1,0.4,82.6,310.4
9,Himachal Pradesh,1.5,0.9,0.1,0,7.1,7.1,0.2,6.9,0,4.6,0.9,0.1,0,5.9,0.8,0,0,0,0.1,9.6,5.4,4.2,7.8,3.5,4.3,5.8,0,0.1,0.2,0.2,0,0.1,5.5,1.7,5.6,0.6,0,0,0,0,1.2,6.5,6.5,0.1,12.6,2.9,0.4,0,1.5,7.8,1.7,0.2,1.4,6.6,11.1,10.4,0.7,0.1,32.3,0,0.1,95,198.5
10,Jammu & Kashmir,1.1,3.5,0.2,0,5,5,0,5,0.4,9.3,3.5,0.2,0,3.8,3.9,0.1,0.1,0,0.5,11.6,6.2,5.4,15.3,6.5,8.7,9.4,0,0.1,0.2,0.2,0,0,9,0.9,4.2,0.4,0.1,0.1,0.1,0,1.2,2.2,2.2,0.1,22.8,4.1,2.4,0,0.1,16.2,3,0,2.8,6.8,6.2,6,0.2,0,41.5,0,0.2,65,191.2
