S.No. (Col. 1),State/UT (Col. 3),Robbery - R (Col. 72),Criminal Trespass/Burglary - Criminal Trespass/Burglary (Total) - R (Col. 75),Criminal Trespass/Burglary - Criminal Trespass/Burglary - R (Col. 78),Criminal Trespass/Burglary - House Trespass & House Breaking - R (Col. 81),Theft - Theft (Total) - R (Col. 84),Theft - Auto Theft - R (Col. 87),Theft - Other Theft - R (Col. 90),Criminal Breach of Trust - R (Col. 130),Cheating - R (Col. 133),Forgery - R (Col. 136),Counterfeiting - Counterfeiting (Total) - R (Col. 139),Counterfeiting - Counterfeit Currency & Bank Notes - Counterfeit Currency & Bank Notes (Sub-Total) - R (Col. 148),Counterfeiting - Counterfeit Currency & Bank Notes - Counterfeiting Currency- Notes Or Bank Notes - R (Col. 151),"Counterfeiting - Counterfeit Currency & Bank Notes - Using As Genuine, Forged or Counterfeiting Currency / Bank Notes - R (Col. 154)",Extortion - R (Col. 250),Unnatural Offences (Section 377 IPC) - R (Col. 262),Other IPC Crimes - R (Col. 265),Arson - R (Col. 166)
1,Andhra Pradesh,0.7,9.1,6.9,2.1,27.4,8.6,18.8,1.6,10.8,0.5,0.2,0.1,0,0.1,1.1,0,77.1,1
2,Arunachal Pradesh,5.8,20.3,17.8,2.5,43.1,13.8,29.2,3.2,9.4,1.5,0.3,0.3,0.2,0.2,8.4,0,46,2.5
3,Assam,2.9,15.6,14,1.6,38.5,12.8,25.7,6,12.6,2.2,0.2,0.2,0.1,0,4.5,0,81.8,2.6
4,Bihar,1.6,4.4,4.1,0.3,21.8,9.6,12.2,1.3,6.2,1.1,0,0,0,0,1.2,0,75.9,0.4
5,Chhattisgarh,1.4,12.9,10,2.8,22.5,10,12.5,0.7,3.8,0.1,0.1,0.1,0,0.1,0.3,0.1,80.9,1.5
6,Goa,0.9,9.4,7.2,2.2,30.4,10.4,20,2.8,7,0.6,0.5,0.5,0.3,0.2,0.2,0.1,24,1.1
7,Gujarat,1.6,6.9,4.5,2.3,22.6,13,9.6,1.7,2.8,0.5,0.1,0.1,0.1,0,0.4,0,86.4,0.4
8,Haryana,3.4,24.4,21.3,3.1,75.7,52.7,23,3.8,12,2.7,0.1,0.1,0,0,1.2,0.4,82.6,0.9
9,Himachal Pradesh,0.1,9.6,5.4,4.2,7.8,3.5,4.3,1.7,5.6,0.6,0,0,0,0,0.1,0.1,95,1.2
10,Jammu & Kashmir,0.5,11.6,6.2,5.4,15.3,6.5,8.7,0.9,4.2,0.4,0.1,0.1,0.1,0,0,0.2,65,1.2
11,Jharkhand,1.4,3.9,1.8,2.1,23.4,8.8,14.6,1.5,8,1.2,0,0,0,0,1.6,0,39.9,0.3
12,Karnataka,3.1,9.8,8,1.8,33.5,15.7,17.8,0.7,12.1,0.6,0.1,0.1,0,0.1,0.4,0,51.9,0.7
13,Kerala,2.2,8,6,2,12.4,4.3,8.2,0.9,13.3,0.7,0.1,0.1,0.1,0,0.1,0.4,246.3,1.6
14,Madhya Pradesh,2.4,14.7,11.7,2.9,38.4,20.6,17.8,0.6,2.5,0.2,0.1,0.1,0,0,0.2,0.1,172,1.1
15,Maharashtra,7.2,13.9,10.9,3,51.3,18,33.3,1.7,8.8,0.8,0.2,0.2,0.1,0.1,0.8,0.1,60.4,1.1
16,Manipur,0.3,3.3,2.1,1.2,51.8,44.7,7.1,2,4.8,0.8,0.2,0.2,0,0.1,2.6,0,14.9,2.9
17,Meghalaya,3.2,7.7,5.3,2.4,29.8,6.4,23.4,1.7,7,1.9,0.1,0.1,0,0,6.3,0.1,44.9,1.2
18,Mizoram,0.5,59.9,37.3,22.6,81,7.7,73.4,2.2,6.7,1.1,1,1,0.4,0.3,2.1,0,18.1,1.6
19,Nagaland,1.7,2.6,1.8,0.8,19.6,12.7,6.9,0.5,2.1,1.3,0.2,0.2,0.1,0,6.6,0,5.5,0.3
20,Odisha,4.2,9.6,8.1,1.5,23.8,8.4,15.4,1.2,6.9,0.1,0.1,0.1,0,0,1.4,0,59.8,1.2
21,Punjab,0.5,9.7,7.1,2.6,17.6,6.8,10.8,1.1,13,0.1,0.1,0.1,0,0,0.2,0.3,34.8,0.3
22,Rajasthan,1.7,8.6,5.9,2.7,40.2,25.1,15.1,0.7,30.3,6.4,0.1,0.1,0,0,0.4,0.1,99.2,0.7
23,Sikkim,1.7,15.3,7.3,7.9,17.3,3.1,14.2,0.6,5.8,0.6,0.2,0,0,0,0.3,0.2,19.2,0.6
24,Tamil Nadu,2.5,7.4,4.7,2.7,16.2,5.4,10.8,0.4,6.6,0.4,0.3,0.3,0.1,0.1,1.8,0,113.1,1
25,Telangana,1,13.8,9.4,4.4,40.4,13.3,27,1.7,21.9,0.8,0.1,0.1,0,0.1,0.9,0,97,1.2
26,Tripura,0.9,4.8,3.6,1.2,7.2,1.9,5.4,1.1,3.1,0.8,0.1,0.1,0,0.1,0.3,0.1,17.2,0.7
27,Uttar Pradesh,1.7,3.1,2.1,1,22.9,13.8,9.1,1.7,4.3,0.7,0.1,0.1,0,0,0.4,0.1,32.4,0.2
28,Uttarakhand,1.2,3.2,2.1,1.1,15.3,7.4,7.9,1.2,5.6,3.1,0.2,0.2,0.2,0,0.2,0.1,27.3,0.1
29,West Bengal,0.5,0.4,0.3,0.1,21.4,4.7,16.7,2,7.3,0.8,0.4,0.4,0,0.4,0.6,0.1,61,0.5
